Event #,Event Name,Brief Description,Event Start Date and Time,Event End Date and Time,Event Duration,Event Category,Track,Ribbon,Maximum Players for Event,Price,Company or Gaming Group,Game Master,Game Manufacturer,Game System and Edition,Rules Taught?,Materials Provided?,Tournament Style,Tournament Round,Minimum Age,Game Complexity,Experience
2047,Alpha Strike Academy,"Learn to play the newer, quick-play version of Battletech.",6/13/2018 12:00,6/13/2018 13:00,1 Hour,Miniature,,,6,2,Catalyst Game Labs,,Catalyst Game Labs,Battletech Alpha Strike,Yes,Yes,,,10+,Low,Beginner
2003,Battletech Bootcamp,"Learn (or relearn) to play. Perfect for new players, even those without miniature or tabletop experience.",6/13/2018 12:00,6/13/2018 13:00,1 Hour,Miniature,,,6,2,Catalyst Game Labs,,Catalyst Game Labs,Battletech Total Warfare,Yes,Yes,,,10+,Low,Beginner
2714,Tash-Kalar - Learn 2 Play,"Do you dare step into the arena of Tash-Kalar? Lay your plans, strengthen your position, then unleash your full power as you summon a tremendous creature to dominate your opponent!",6/13/2018 12:00,6/13/2018 13:00,1 Hour,Tabletop,,,2,2,,,Czech Games Edition,,Yes,Yes,,,13+,Low,Beginner
6912,PLAY TO WIN - 12 Thieves,"PLAY TO WIN! Rules taught. Winner keeps the game! Lead your group of thieves to grab the best treasure, but beware the guards!",6/13/2018 12:00,6/13/2018 13:00,1 Hour,Tabletop,,,4,2,WVHGA,,Queen Games,,Yes,Yes,,,10+,Low,Beginner
6924,12 Thieves,"Rules taught. Winner keeps the game! Lead your group of thieves to grab the best treasure, but beware the guards!",6/13/2018 12:00,6/13/2018 13:00,1 Hour,Tabletop,,,4,2,WVHGA,,Queen Games,,Yes,Yes,,,10+,Low,Beginner
6969,Luxor,"Rules Taught! Delve into the lost temple at Luxor. Race to find the temple, but not so fast that you miss all the treasure along the way!",6/13/2018 12:00,6/13/2018 13:00,1 Hour,Tabletop,,,8,2,WVHGA,,Queen Games,,Yes,Yes,,,10+,Low,Beginner
6696,Totemic Rites,"Totemic Rites is a set collection rondel based movement game about building totem poles. Each totem has two different types, one on the left and one on the right. Each totem also has an ability for you to use and you can use totems once you've placed them on your workbench and if they're on the top of your totem pole. Moving around the rondel gives other players resources unless you use the abilities of your totems, so choosing the right ones and the right time to build up and cover up your totem's abilities is very important. Each totem built is worth a certain amount of points and as you add totems to your pole, you want to match the colors to gain extra points. The last round is triggered when any one player has added five totems to their totem pole.",6/13/2018 12:00,6/13/2018 13:00,1 Hour,Tabletop,,,4,2,Weird Giraffe Games,Adam Kecskes,Weird Giraffe Games,,Yes,Yes,,,10+,Low,Beginner
1131,Amtgard Battlegrounds,"Come and fight for glory, for honor, and a good time! Practice the ways of, boffer, Combat! (This is a rolling event, join at any time)",6/13/2018 12:00,6/13/2018 22:00,10 Hours,LARP,,Amtgard,50,8,Rising Winds,Branden Webb,Amtgard,Amtgard v8,Yes,Yes,,,13+,Low,Beginner
1139,Amtgard 101,Learn the Basics of Amtgard combat! This is a rolling event you can join at any time.,6/13/2018 12:00,6/13/2018 22:00,10 Hours,LARP,,Amtgard,50,8,Rising Winds,Peter Kelley,Amtgard,Amtgard v8,Yes,Yes,,,13+,Low,Beginner
6419,Dice Masters Rainbow Draft,"Bring 8 Sidekick dice, 12 Basic Action dice, 4 Indicator cards, and 2 Basic Action Cards and then each player in the draft sits down with packs of Dice Masters to draft with.",6/13/2018 12:00,6/13/2018 14:00,2 Hours,CCG/TCG,,,32,12,WizKids/NECA,Justin Ziran,WizKids/NECA,HeroClix 2018,No,No,Single Elimination,Full Tournament,10+,Low,Intermediate
8045,Legend of the 5 Rings On Demand Skirmish Pods,8 player on demand pods. Fire when full. 3 rounds of Swiss play for Constructed Decks,6/13/2018 12:00,6/13/2018 18:00,2 Hours,CCG/TCG,,,100,12,Cascade Games LLC,Steve Cameron,Fantasy Flight Games,Legend of the 5 Rings,No,No,Swiss,,10+,Med,Intermediate
